emoji,sentiment
😂,Positive
❤,Positive
♥,Positive
😍,Positive
😭,Negative
😘,Positive
😊,Positive
👌,Positive
💕,Positive
👏,Positive
😁,Positive
☺,Positive
♡,Positive
👍,Positive
😩,Negative
🙏,Positive
✌,Positive
😏,Neutral
😉,Positive
🙌,Positive
🙈,Positive
💪,Positive
😄,Positive
😒,Negative
💃,Positive
💖,Positive
😃,Positive
😔,Negative
😱,Positive
🎉,Positive
😜,Positive
☯,Neutral
🌸,Positive
💜,Positive
💙,Positive
✨,Neutral
😳,Positive
💗,Positive
★,Neutral
█,Neutral
☀,Positive
😡,Negative
😎,Positive
😢,Positive
💋,Positive
😋,Positive
🙊,Positive
😴,Negative
🎶,Positive
💞,Positive
😌,Positive
🔥,Neutral
💯,Positive
🔫,Negative
💛,Positive
💁,Positive
💚,Positive
♫,Neutral
😞,Negative
😆,Positive
😝,Positive
😪,Negative
�,Neutral
😫,Negative
😅,Positive
👊,Positive
💀,Negative
😀,Positive
😚,Positive
😻,Positive
©,Neutral
👀,Neutral
💘,Positive
🐓,Neutral
☕,Neutral
👋,Positive
✋,Positive
🎊,Positive
🍕,Positive
❄,Positive
😥,Positive
😕,Negative
💥,Neutral
💔,Negative
😤,Negative
😈,Positive
►,Neutral
✈,Neutral
🔝,Positive
😰,Negative
⚽,Positive
😑,Negative
👑,Positive
😹,Positive
👉,Neutral
🍃,Positive
🎁,Positive
😠,Negative
🐧,Positive
☆,Neutral
🍀,Neutral
🎈,Positive
🎅,Neutral
😓,Negative
😣,Negative
😐,Negative
✊,Positive
😨,Negative
😖,Negative
💤,Positive
💓,Positive
👎,Negative
💦,Positive
✔,Neutral
😷,Negative
⚡,Neutral
🙋,Positive
🎄,Positive
💩,Negative
🎵,Positive
➡,Neutral
😛,Positive
😬,Positive
👯,Positive
💎,Positive
🌿,Neutral
🎂,Positive
🌟,Neutral
🔮,Neutral
❗,Neutral
👫,Positive
🏆,Positive
✖,Neutral
☝,Positive
😙,Positive
⛄,Positive
👅,Positive
♪,Positive
🍂,Positive
💏,Positive
🔪,Neutral
🌴,Positive
👈,Positive
🌹,Positive
🙆,Positive
➜,Neutral
👻,Neutral
💰,Neutral
🍻,Positive
🙅,Negative
🌞,Positive
🍁,Positive
⭐,Positive
▪,Neutral
🎀,Positive
━,Neutral
☷,Neutral
🐷,Neutral
🙉,Positive
🌺,Positive
💅,Positive
🐶,Positive
🌚,Positive
👽,Neutral
🎤,Positive
👭,Positive
🎧,Positive
👆,Positive
🍸,Positive
🍷,Neutral
®,Neutral
🍉,Positive
😇,Positive
☑,Neutral
🏃,Positive
😿,Negative
│,Neutral
💣,Neutral
🍺,Positive
▶,Neutral
😲,Negative
🎸,Positive
🍹,Positive
💫,Positive
📚,Positive
😶,Negative
🌷,Positive
💝,Positive
💨,Positive
🏈,Positive
💍,Positive
☔,Positive
👸,Positive
🇪,Positive
░,Neutral
🍩,Positive
👾,Neutral
☁,Positive
🌻,Positive
😵,Positive
📒,Neutral
↿,Positive
🐯,Positive
👼,Positive
🍔,Positive
😸,Positive
👶,Positive
↾,Positive
💐,Positive
🌊,Positive
🍦,Positive
🍓,Positive
👇,Neutral
💆,Positive
🍴,Positive
😧,Negative
🇸,Positive
😮,Positive
▓,Neutral
🚫,Negative
😽,Positive
🌈,Positive
🙀,Positive
⚠,Neutral
🎮,Positive
╯,Neutral
🍆,Positive
🍰,Positive
✓,Neutral
👐,Negative
🙇,Positive
🍟,Positive
🍌,Positive
💑,Positive
👬,Negative
🐣,Positive
🎃,Positive
▬,Neutral
￼,Negative
😟,Positive
🐾,Positive
🎓,Positive
🏊,Positive
🍫,Positive
📷,Positive
👄,Positive
🌼,Positive
🚶,Neutral
🐱,Positive
║,Neutral
🐸,Neutral
🇺,Positive
👿,Negative
🚬,Positive
✿,Neutral
📖,Positive
🐒,Positive
🌍,Positive
┊,Positive
🐥,Positive
🌀,Neutral
🐼,Neutral
🎥,Neutral
💄,Positive
💸,Positive
⛔,Positive
●,Neutral
🏀,Positive
💉,Positive
💟,Positive
🚗,Neutral
😯,Positive
📝,Neutral
═,Neutral
♦,Positive
💭,Neutral
🌙,Positive
🐟,Positive
👣,Positive
☞,Neutral
✂,Negative
🗿,Positive
🍝,Positive
👪,Negative
🍭,Positive
🌃,Neutral
❌,Positive
🐰,Positive
💊,Positive
🚨,Positive
😦,Negative
🍪,Positive
🍣,Negative
╭,Neutral
✧,Neutral
🎆,Positive
╮,Neutral
🎎,Positive
🇩,Positive
✅,Positive
👹,Neutral
📱,Neutral
🙍,Negative
🍑,Positive
🎼,Neutral
🔊,Positive
🌌,Positive
🍎,Positive
🐻,Positive
─,Neutral
╰,Neutral
💇,Positive
♬,Neutral
♚,Neutral
🔴,Neutral
🍱,Negative
🍊,Positive
🍒,Positive
🐭,Positive
👟,Positive
🌎,Positive
🍍,Positive
🐮,Positive
📲,Neutral
☼,Neutral
🌅,Positive
🇷,Positive
👠,Positive
🌽,Positive
💧,Negative
❓,Neutral
🍬,Positive
😺,Positive
🐴,Neutral
🚀,Positive
¦,Positive
💢,Neutral
🎬,Neutral
🍧,Positive
🍜,Positive
🐏,Positive
🐘,Neutral
👧,Positive
⠀,Neutral
🏄,Positive
➤,Neutral
⬆,Neutral
🍋,Neutral
🆗,Positive
⚪,Neutral
📺,Positive
🍅,Positive
⛅,Positive
🐢,Neutral
👙,Positive
🏡,Positive
🌾,Positive
◉,Neutral
✏,Neutral
🐬,Positive
🍤,Neutral
🇹,Positive
♣,Positive
🐝,Neutral
🌝,Neutral
🇮,Positive
🔋,Negative
🐍,Positive
♔,Positive
🍳,Positive
🔵,Positive
😾,Negative
🌕,Positive
🐨,Positive
🔐,Positive
💿,Positive
❁,Neutral
🌳,Positive
👰,Positive
❀,Neutral
⚓,Positive
🚴,Positive
▀,Neutral
👗,Neutral
➕,Positive
💬,Positive
▒,Neutral
🔜,Positive
🍨,Positive
💲,Neutral
⛽,Neutral
🍙,Positive
🍗,Positive
🍲,Neutral
🍥,Negative
▸,Neutral
♛,Neutral
😼,Positive
🐙,Positive
👨,Positive
🍚,Positive
🍖,Positive
♨,Positive
🎹,Neutral
♕,Neutral
▃,Positive
🚘,Positive
🍏,Neutral
👩,Positive
👦,Neutral
🇬,Neutral
🇧,Neutral
☠,Neutral
🐠,Positive
🚹,Positive
💵,Positive
✰,Positive
╠,Neutral
👛,Positive
🚙,Neutral
🌱,Positive
💻,Neutral
🌏,Positive
▄,Neutral
👓,Neutral
◄,Neutral
⚾,Negative
🌲,Positive
👴,Positive
🏠,Positive
🍇,Positive
🍘,Positive
🍛,Positive
🐇,Positive
🔞,Neutral
👵,Positive
◀,Neutral
🔙,Neutral
🌵,Positive
🐽,Neutral
🍮,Negative
🎇,Positive
🐎,Positive
➔,Neutral
💶,Neutral
🐤,Positive
╩,Neutral
🛀,Positive
🌑,Positive
🚲,Neutral
🐑,Neutral
🏁,Positive
🍞,Neutral
🎾,Positive
╚,Neutral
🈹,Neutral
🐳,Neutral
👮,Negative
☹,Negative
🐵,Positive
✪,Neutral
◕,Neutral
🗼,Positive
▐,Neutral
♠,Neutral
┳,Negative
👺,Negative
🐚,Neutral
👂,Neutral
🗽,Neutral
🍵,Positive
🆒,Neutral
🍯,Positive
🐺,Neutral
⇨,Positive
➨,Neutral
🌓,Positive
🔒,Positive
╬,Neutral
👳,Positive
🌂,Neutral
🚌,Neutral
♩,Positive
🍡,Neutral
❥,Neutral
🎡,Neutral
💌,Positive
🐩,Neutral
🌜,Positive
⌚,Neutral
🚿,Positive
🐖,Neutral
🔆,Positive
🌛,Positive
💂,Negative
🐔,Neutral
🙎,Negative
🏩,Positive
🇫,Positive
🔨,Negative
📢,Neutral
🐦,Neutral
🐲,Neutral
♻,Positive
🌘,Positive
🍐,Positive
🌔,Positive
╥,Positive
❊,Neutral
👖,Neutral
🚺,Neutral
😗,Positive
🎭,Negative
🐄,Positive
◟,Neutral
🍢,Neutral
🎨,Neutral
⬇,Positive
🚼,Positive
⛲,Neutral
▁,Neutral
🇴,Neutral
🌗,Positive
🌖,Positive
🔅,Positive
👜,Neutral
🐌,Positive
💼,Positive
🚕,Neutral
🐹,Positive
🌠,Positive
🐈,Neutral
⇧,Neutral
☎,Neutral
🌁,Neutral
⚫,Positive
♧,Positive
🏰,Neutral
🚵,Neutral
🎢,Positive
🎷,Positive
🎐,Neutral
┈,Negative
╗,Neutral
╱,Neutral
🌇,Positive
⏰,Positive
⇩,Neutral
🚂,Neutral
◠,Positive
🎿,Positive
✦,Neutral
🆔,Positive
⛪,Neutral
🌒,Positive
🐪,Positive
╔,Neutral
╝,Positive
👔,Positive
🔱,Neutral
🆓,Neutral
🐋,Neutral
▽,Positive
▂,Neutral
🐛,Positive
👕,Positive
🚋,Neutral
💳,Positive
🌆,Neutral
🏧,Positive
💡,Positive
🔹,Neutral
⬅,Positive
🍠,Negative
🐫,Neutral
🏪,Neutral
۩,Neutral
🇱,Neutral
📹,Positive
👞,Positive
🚑,Neutral
🆘,Positive
👚,Positive
🚍,Positive
□,Negative
🐂,Neutral
🚣,Positive
✳,Neutral
🏉,Positive
🗻,Positive
🐀,Neutral
╦,Neutral
⛺,Positive
🐕,Neutral
🏂,Positive
👡,Positive
📻,Positive
✒,Neutral
🌰,Positive
🏢,Neutral
🎒,Positive
⌒,Positive
🏫,Negative
📴,Positive
🚢,Positive
🚚,Neutral
🐉,Neutral
❒,Neutral
🐊,Neutral
🔔,Positive
◢,Positive
🏥,Neutral
❔,Negative
🚖,Neutral
