Review,Sentiment,,,,
"""Ben Smith / Smith (concussion) remains out of the lineup Thursday, Curtis #NHL #SJ""",Neutral,,,,
Sorry bout the stream last night I crashed out but will be on tonight for sure. Then back to Minecraft in pc tomorrow night.,Neutral,,,,
Chase Headley's RBI double in the 8th inning off David Price snapped a Yankees streak of 33 consecutive scoreless innings against Blue Jays,Positive,,,,
"@user Alciato: Bee will invest 150 million in January, another 200 in the Summer and plans to bring Messi by 2017""",Positive,,,,
@user LIT MY MUM 'Kerry the louboutins I wonder how many Willam owns!!! Look Kerry Warner Wednesday!',Positive,,,,
"""\"""""""" SOUL TRAIN\"""""""" OCT 27 HALLOWEEN SPECIAL ft T.dot FINEST rocking the mic...CRAZY CACTUS NIGHT CLUB ..ADV ticket $10 wt out costume $15...""",Negative,,,,
So disappointed in wwe summerslam! I want to see john cena wins his 16th title,Positive,,,,
"""This is the last Sunday w/o football .....,NFL is back baby""",Neutral,,,,
@user @user CENA & AJ sitting in a tree K-I-S-S-I-N-G 1st goes AJ's  job then John's cred then goes Vicki with the GM position.,Neutral,,,,
@user Well said on HMW. Can you now address why Texans fans file out of the stadium midway through the 4th qtr of every game?,Neutral,,,,
Just said hello to Dennis Kucinich as he walked casually through campus with his #hotwife. He's on 22nd st!,Positive,,,,
Super excited for homecoming Saturday with Monroe! :D my new nephew is here but I can\u2019t see him :(,Negative,,,,
That sucks if you have to take the SATs tomorrow,Neutral,,,,
@user  6 tickets for Sam smith concert  Sept 30 cheap! Flew our family of 6 here fir the concert! BEYOND UPSET!,Neutral,,,,
"""Fiorentina have reportedly opened talks with Chelsea over taking the 20yr old Kurt Zuoma on loan in January.""",Positive,,,,
Creighton Volleyball leads 8-5 early in 2nd set. Match becomes even bigger with both Wichita St. & Missouri State down 0-1 at home tonight.,Positive,,,,
This time tomorrow...we'll have the Iron on. Iron Maiden pieces Drops tomorrow nights.,Negative,,,,
Amy Schumer sat down with The Hollywood Reporter and opened up about the sexist remarks and unnecessary criticism she's faced since,Neutral,,,,
What is Jamie Foxx doing sitting next to Niall like you could've sat in a better spot just saying lol,Neutral,,,,
"@user @user 1st uneasyness was when he got v defensive about the Charlie Hebdo stuff, even tho he had pals patiently explaining""",Positive,,,,
Reminder: Samsung Unveils the Galaxy Note 5 and S6 Edge+ Tomorrow Morning! - - #tech #news...,Neutral,,,,
"""Gonna do a movie marathon with my friend today and tomorrow. Twilight, New Moon, Eclipse, BD1, The Runaways, Adventureland, (c)""",Neutral,,,,
Oscars Well makes his debut over fences at Punchestown tomorrow. It looks as though he\u2019ll have Plan A and Darwins Fox to overcome.,Neutral,,,,
Q2 10:30. Philip Rivers pass to Eddie Royal to the San Diego 19 for 7 yards. 3rd & 1.,Neutral,,,,
"@user Work colleague of mine on Thursday night: """"oh, look, they're showing the Bee Gees on video."""" 23-yr old colleague: """"who?""""""",Neutral,,,,
Who's going to get them Gucci foams tomorrow,Positive,,,,
Yes glass of red\u002c Rammstein and day off tomorrow (thank you @user just what I needed.,Positive,,,,
Vampettes we are back on the 21st place keep tweeting with the hashtag #MTVStars The Vamps #MTVStarsOf2015,Neutral,,,,
Ryan Braun returned to the lineup on Wednesday after missing two games with lower back tightness.,Neutral,,,,
"""#Ichiro has nothing. If you want to see hustle: Kenny Lofton, 17 October 1995, scores from second base on a past ball. #GoTribe #ALDS""",Positive,,,,
Looking forward to going to Carrow Rd tonight. Last time we were there\u002c Bale scored 2 and we were 3rd. Do not want extra time though,Neutral,,,,
Gonna go to the north game tomorrow night. I better see some of you north kiddos,Positive,,,,
Right guys\u002c last competition of the night... Like this status for a chance to win a copy of Judas Priest\u2019s 30th...,Positive,,,,
We\u2019re in the studio working on the new album and it sounds EPIC. We may as well pick up our Brit Award now\u002c tbh.,Neutral,,,,
"""last day of august, waiting for frank ocean to pull a beyonce.",Neutral,,,,
#INFO --> Grand opening sharetea bubble tea with @user 2 nov 2012 mall taman anggrek 11:00 - 14:00 * Jadwal ke-1 besok !,Positive,,,,
Sunday (tomorrow) is National Ice Cream Day and have we got a gift for you!   Join us for an ice cream sundae and...,Neutral,,,,
Gucci pants himself store january lay open the span thine atomic irruptive concomitant so that cons comburent:...,Neutral,,,,
still not over how Nicki snapped like a 12th grader on their last day of high school,Positive,,,,
I may or may not buy myself the illustrated version of Harry potter for my birthday,Positive,,,,
I wanna see STUDIO FOOTAGE SO BAD. We are about to hear some unreleased STUFF! Likeeeeeeeeee I can\u2019t wait until Sunday.,Negative,,,,
"@user how the hell does every one else get to keep their religious and 1st amnt rights, except Christians!!! This is just wrong!!!""",Positive,,,,
A @user rule change should allow Carly Fiorina to earn a spot on the main stage for the 2nd Republican debate.,Neutral,,,,
"""TFI Friday doesn't look like it's coming back, as Chris Evans focuses on new-look Top Gear",Neutral,,,,
#np The Way You Make Me Feel - 2012 Remaster by Michael Jackson from the album Bad 25th Anniversary.,Positive,,,,
"""I'm going to see Paper Towns. Saturday, 22 August 2015 at 17:40 in Leigh #Cineworld""",Positive,,,,
@user Yepo I came in Milan it was my 1st concert and it was so good you guys did an amazing job! You are flawless live like PERFECT!,Neutral,,,,
#days #dool Tuesday Hope has to pick up Ciara. Rafe wants a real case not just publicity like Justin,Neutral,,,,
Seth Rollins talks &amp; talks every Monday on RAW for about 45 minutes,Negative,,,,
"Thanks manager for putting me on the schedule for Sunday""",Positive,,,,
I'm sat at work just laughing at all these Hulk Hogan tweets. Hahha ffs,Neutral,,,,
@user #MLBCentral David Wright crushing a dinger on his first swing since April 14th. I didn't think he would pull a Wilmer Flores!,Positive,,,,
I feel like the new Janet Jackson single is bringing back 90s R&amp;B. via @user,Neutral,,,,
Anyone want to see Sam smith with me on October 6th?,Positive,,,,
This Friday OUTHOUSE is playing at Still Partners in Sea Cliff ! Hop on the Expressway to Nirvana!,Neutral,,,,
"""You can't shit talk Kpop. Every group is so in sync and vocally on point. It may not be your thing, but it's talent.""",Neutral,,,,
I hope Milan mom say that she can come over on the 28th,Neutral,,,,
